804.0,0,17,0,0,804.0,257636,845.0,42.2877361841,0,5
883.0,0,17,1,1,883.0,257638,879.0,45.7045431348,0,4
934.0,0,17,2,2,934.0,257640,888.0,33.0408041192,0,4
784.0,0,17,3,3,784.0,257642,862.0,51.4187145943,0,3
928.0,0,17,4,4,928.0,257644,884.0,52.5642213718,0,3
913.0,0,17,5,5,913.0,257646,911.0,57.2522350747,0,3
1313.0,0,17,7,0,509.0,257650,498.0,35.1358266701,0,2
2400.0,1,51,7,0,1087.0,236589,1058.0,27.1748722943,0,2
4786.0,2,27,0,0,2386.0,215980,2498.0,83.7032823352,0,5
2639.0,1,51,0,1,1756.0,236575,1755.0,61.7126405204,0,5
5049.0,2,27,1,1,2410.0,215982,2457.0,52.6693759019,0,4
5870.0,3,83,0,1,821.0,183437,847.0,33.5274828352,0,5
2925.0,1,51,1,2,1991.0,236577,1981.0,66.2558041152,0,4
5247.0,2,27,3,2,2322.0,215986,2373.0,62.0258647238,0,3
6044.0,3,83,2,2,797.0,183441,817.0,41.3257597759,0,4
2764.0,1,51,2,3,1980.0,236579,2033.0,58.9933091657,0,4
5206.0,2,27,6,3,2442.0,215992,2391.0,60.9847910289,0,2
6031.0,3,83,5,3,825.0,183447,831.0,37.1793660941,0,3
2847.0,1,51,3,4,1919.0,236581,1937.0,55.3346517492,0,3
5229.0,2,27,2,4,2382.0,215984,2409.0,74.1262081645,0,4
6020.0,3,83,1,4,791.0,183439,829.0,38.230739905,0,4
2869.0,1,51,4,5,1956.0,236583,1984.0,60.2172383083,0,3
5215.0,2,27,4,5,2346.0,215988,2371.0,67.405216103,0,3
6073.0,3,83,3,5,858.0,183443,859.0,36.0708002625,0,3
852.0,0,17,6,6,852.0,257648,853.0,36.6439483048,0,2
2973.0,1,51,5,6,2121.0,236585,2116.0,70.1318119874,0,3
5020.0,2,27,7,6,2047.0,215994,2034.0,75.2191709886,0,2
1828.0,1,51,6,7,1828.0,236587,2004.0,70.2559980582,0,2
4256.0,2,27,5,7,2428.0,215990,2411.0,57.0191795987,0,3
5148.0,3,83,4,7,892.0,183445,872.0,46.4026995585,0,3
5582.0,3,83,6,0,796.0,183449,841.0,41.8655429227,0,2
