0 , 0 , 0 , 0 , 0
24 , 24 , 0 , 0 , 2514
48 , 48 , 0 , 0 , 5037
72 , 72 , 0 , 0 , 7499
96 , 99 , 4 , 4 , 20100
120 , 123 , 14 , 14 , 34640
144 , 147 , 36 , 36 , 39149
168 , 171 , 52 , 52 , 50353
192 , 197 , 59 , 59 , 64376
216 , 221 , 75 , 75 , 68176
240 , 245 , 91 , 91 , 81469
264 , 271 , 115 , 115 , 91409
288 , 295 , 129 , 129 , 100712
312 , 319 , 153 , 153 , 105586
336 , 343 , 169 , 169 , 113528
360 , 367 , 179 , 179 , 145177
384 , 391 , 201 , 201 , 148888
408 , 415 , 224 , 224 , 160056
432 , 439 , 248 , 248 , 184353
456 , 467 , 272 , 272 , 194454
480 , 491 , 296 , 296 , 207305
504 , 515 , 320 , 320 , 209221
528 , 539 , 344 , 344 , 212007
552 , 563 , 365 , 365 , 217356
576 , 587 , 377 , 377 , 248976
600 , 611 , 400 , 400 , 259353
624 , 635 , 424 , 424 , 265973
648 , 659 , 448 , 448 , 268101
672 , 683 , 467 , 467 , 275532
696 , 712 , 491 , 496 , 282694
720 , 736 , 515 , 520 , 292335
744 , 760 , 539 , 544 , 295834
768 , 784 , 562 , 567 , 306784
792 , 808 , 584 , 589 , 338002
816 , 832 , 608 , 613 , 341811
840 , 858 , 632 , 639 , 360066
864 , 882 , 656 , 663 , 364712
888 , 906 , 680 , 687 , 368729
912 , 934 , 704 , 715 , 390701
936 , 958 , 728 , 739 , 393809
960 , 982 , 752 , 763 , 400359
984 , 1010 , 776 , 791 , 407842
1008 , 1038 , 800 , 819 , 413879
1032 , 1062 , 824 , 843 , 416812
1056 , 1086 , 848 , 867 , 421919
1080 , 1112 , 870 , 891 , 447529
1104 , 1136 , 894 , 915 , 449695
1128 , 1160 , 918 , 939 , 463418
1152 , 1184 , 942 , 963 , 466712
1176 , 1208 , 966 , 987 , 470046
1200 , 1232 , 990 , 1011 , 472258
1224 , 1256 , 1014 , 1035 , 478003
1248 , 1280 , 1035 , 1056 , 485278
1272 , 1304 , 1059 , 1080 , 489209
1296 , 1328 , 1083 , 1104 , 498141
1320 , 1352 , 1107 , 1128 , 503680
1344 , 1377 , 1130 , 1152 , 526142
1368 , 1401 , 1154 , 1176 , 536288
1392 , 1425 , 1178 , 1200 , 538184
