0 , 0 , 0 , 0 , 0
24 , 24 , 0 , 0 , 2346
48 , 48 , 0 , 0 , 5350
72 , 72 , 0 , 0 , 7960
96 , 99 , 8 , 8 , 22621
120 , 123 , 19 , 19 , 36746
144 , 147 , 42 , 42 , 41816
168 , 171 , 58 , 58 , 54147
192 , 197 , 69 , 69 , 68275
216 , 221 , 86 , 86 , 72171
240 , 245 , 110 , 110 , 87612
264 , 271 , 134 , 136 , 96764
288 , 295 , 152 , 154 , 105090
312 , 319 , 176 , 178 , 109610
336 , 343 , 195 , 197 , 117024
360 , 367 , 206 , 208 , 148531
384 , 391 , 229 , 231 , 152237
408 , 415 , 253 , 255 , 163501
432 , 439 , 277 , 279 , 188718
456 , 467 , 301 , 303 , 198889
480 , 491 , 325 , 327 , 211228
504 , 515 , 349 , 351 , 213506
528 , 539 , 373 , 375 , 216401
552 , 563 , 394 , 396 , 222530
576 , 587 , 411 , 413 , 256420
600 , 611 , 435 , 437 , 266115
624 , 635 , 459 , 461 , 272552
648 , 659 , 483 , 485 , 274669
672 , 683 , 507 , 509 , 282430
696 , 712 , 531 , 538 , 289834
720 , 736 , 555 , 562 , 298657
744 , 760 , 579 , 586 , 302226
768 , 784 , 603 , 610 , 313363
792 , 808 , 627 , 634 , 342547
816 , 832 , 651 , 658 , 346312
840 , 862 , 675 , 684 , 362908
864 , 886 , 699 , 708 , 367660
888 , 910 , 723 , 732 , 371463
912 , 938 , 747 , 760 , 391641
936 , 962 , 771 , 784 , 395043
960 , 986 , 795 , 808 , 401002
984 , 1014 , 819 , 836 , 409519
1008 , 1042 , 843 , 864 , 415176
1032 , 1066 , 867 , 888 , 418096
1056 , 1090 , 891 , 912 , 422939
1080 , 1117 , 915 , 938 , 448837
1104 , 1141 , 939 , 962 , 451215
1128 , 1165 , 963 , 986 , 463383
1152 , 1189 , 987 , 1010 , 466108
1176 , 1213 , 1011 , 1034 , 469283
1200 , 1237 , 1035 , 1058 , 471907
1224 , 1261 , 1059 , 1082 , 479873
1248 , 1285 , 1083 , 1106 , 484508
1272 , 1309 , 1107 , 1130 , 490407
1296 , 1333 , 1131 , 1154 , 496733
1320 , 1357 , 1155 , 1178 , 501590
1344 , 1382 , 1179 , 1203 , 522300
1368 , 1406 , 1203 , 1227 , 525916
