0 , 0 , 0 , 0 , 0
24 , 24 , 0 , 0 , 8384
48 , 50 , 2 , 2 , 13874
72 , 75 , 2 , 2 , 17188
96 , 99 , 2 , 2 , 22240
120 , 125 , 2 , 2 , 39404
144 , 149 , 4 , 4 , 47812
168 , 173 , 4 , 4 , 53006
192 , 197 , 4 , 4 , 60589
216 , 222 , 6 , 6 , 69174
240 , 251 , 8 , 8 , 80335
264 , 276 , 16 , 16 , 87289
288 , 300 , 22 , 22 , 97402
312 , 325 , 26 , 26 , 107650
336 , 349 , 32 , 32 , 113619
360 , 373 , 41 , 41 , 121665
384 , 397 , 58 , 58 , 132940
408 , 422 , 82 , 82 , 143946
432 , 446 , 106 , 106 , 156247
456 , 471 , 130 , 130 , 164257
480 , 498 , 154 , 155 , 176438
504 , 523 , 178 , 180 , 188722
528 , 551 , 202 , 208 , 201449
552 , 579 , 226 , 235 , 214508
576 , 607 , 250 , 260 , 225143
600 , 634 , 274 , 285 , 232914
624 , 663 , 298 , 311 , 237875
648 , 689 , 322 , 337 , 243436
672 , 714 , 346 , 361 , 247716
696 , 738 , 370 , 385 , 250170
720 , 762 , 394 , 409 , 257500
744 , 790 , 418 , 437 , 271159
768 , 818 , 442 , 465 , 284678
792 , 844 , 466 , 491 , 298404
816 , 872 , 490 , 515 , 311893
840 , 896 , 514 , 539 , 319379
864 , 926 , 538 , 563 , 331891
888 , 954 , 562 , 588 , 342086
912 , 979 , 586 , 613 , 348877
936 , 1006 , 610 , 640 , 357767
960 , 1037 , 634 , 669 , 363007
984 , 1066 , 658 , 698 , 367402
1008 , 1092 , 682 , 724 , 372435
1032 , 1118 , 706 , 750 , 379442
1056 , 1143 , 730 , 775 , 388609
1080 , 1171 , 754 , 803 , 395735
1104 , 1195 , 778 , 827 , 399615
1128 , 1224 , 802 , 854 , 407392
1152 , 1253 , 826 , 882 , 417633
1176 , 1277 , 850 , 906 , 443396
1200 , 1301 , 874 , 930 , 467489
1224 , 1325 , 898 , 954 , 486308
1248 , 1351 , 922 , 980 , 505047
1272 , 1378 , 946 , 1007 , 525977
1296 , 1407 , 970 , 1036 , 539377
1320 , 1435 , 994 , 1064 , 550021
1344 , 1462 , 1018 , 1091 , 559986
1368 , 1488 , 1042 , 1117 , 567036
1392 , 1516 , 1066 , 1145 , 578714
1416 , 1547 , 1090 , 1176 , 588083
1440 , 1580 , 1114 , 1209 , 596853
1464 , 1611 , 1138 , 1240 , 602695
1488 , 1638 , 1162 , 1267 , 605401
1512 , 1662 , 1186 , 1291 , 609750
1536 , 1686 , 1210 , 1315 , 632294
1560 , 1713 , 1234 , 1342 , 650282
1584 , 1741 , 1258 , 1370 , 668231
1608 , 1765 , 1282 , 1394 , 684164
1632 , 1789 , 1306 , 1418 , 691357
1656 , 1813 , 1330 , 1442 , 696880
1680 , 1839 , 1354 , 1468 , 700541
1704 , 1866 , 1378 , 1495 , 711979
1728 , 1895 , 1402 , 1524 , 723514
1752 , 1921 , 1426 , 1550 , 728136
