0 , 0 , 0 , 0 , 0
24 , 24 , 0 , 0 , 5380
48 , 48 , 0 , 0 , 9870
72 , 72 , 0 , 0 , 30684
96 , 96 , 6 , 6 , 36212
120 , 126 , 26 , 32 , 46451
144 , 150 , 49 , 55 , 62751
168 , 174 , 73 , 79 , 90420
192 , 198 , 97 , 103 , 92637
216 , 222 , 121 , 127 , 108526
240 , 246 , 145 , 151 , 110223
264 , 275 , 169 , 180 , 112864
288 , 301 , 193 , 206 , 132316
312 , 325 , 217 , 230 , 135601
336 , 349 , 241 , 254 , 150790
360 , 373 , 265 , 278 , 160787
384 , 402 , 289 , 307 , 176720
408 , 426 , 313 , 331 , 178490
432 , 452 , 337 , 356 , 181348
456 , 476 , 361 , 380 , 192039
480 , 500 , 385 , 404 , 206408
504 , 524 , 409 , 428 , 208711
528 , 555 , 433 , 459 , 213027
552 , 579 , 457 , 483 , 220373
576 , 605 , 481 , 508 , 237504
600 , 631 , 505 , 534 , 248329
624 , 655 , 529 , 558 , 264876
648 , 679 , 553 , 582 , 275567
672 , 705 , 577 , 608 , 278954
696 , 734 , 601 , 637 , 282186
720 , 764 , 625 , 663 , 284993
744 , 792 , 649 , 691 , 314517
768 , 820 , 673 , 719 , 318812
792 , 854 , 697 , 753 , 327615
816 , 878 , 721 , 777 , 329612
840 , 911 , 745 , 810 , 338347
864 , 935 , 769 , 834 , 341862
888 , 969 , 793 , 868 , 352646
912 , 997 , 817 , 893 , 369807
936 , 1026 , 841 , 922 , 383682
960 , 1056 , 865 , 952 , 389009
984 , 1088 , 889 , 982 , 399033
1008 , 1114 , 913 , 1008 , 405630
1032 , 1138 , 937 , 1032 , 408918
1056 , 1175 , 961 , 1069 , 421072
1080 , 1200 , 985 , 1093 , 442252
1104 , 1226 , 1009 , 1119 , 447653
1128 , 1256 , 1033 , 1149 , 453765
1152 , 1281 , 1057 , 1174 , 458869
1176 , 1309 , 1081 , 1202 , 465551
1200 , 1335 , 1105 , 1227 , 471299
1224 , 1367 , 1129 , 1259 , 485871
1248 , 1393 , 1153 , 1285 , 503053
1272 , 1418 , 1177 , 1310 , 519338
1296 , 1442 , 1201 , 1334 , 530637
1320 , 1473 , 1225 , 1365 , 547053
1344 , 1497 , 1249 , 1389 , 552708
1368 , 1521 , 1273 , 1413 , 558058
1392 , 1545 , 1297 , 1437 , 561298
1416 , 1569 , 1321 , 1461 , 563730
1440 , 1597 , 1345 , 1489 , 567870
1464 , 1621 , 1369 , 1513 , 576516
1488 , 1645 , 1393 , 1537 , 589553
1512 , 1669 , 1417 , 1561 , 602155
1536 , 1693 , 1441 , 1585 , 611995
1560 , 1718 , 1465 , 1610 , 614291
1584 , 1744 , 1489 , 1636 , 616945
1608 , 1771 , 1513 , 1663 , 627924
1632 , 1795 , 1537 , 1687 , 631215
1656 , 1819 , 1561 , 1711 , 649505
1680 , 1843 , 1585 , 1735 , 665424
1704 , 1867 , 1609 , 1759 , 680748
1728 , 1901 , 1633 , 1793 , 721726
1752 , 1925 , 1657 , 1817 , 727355
1776 , 1953 , 1681 , 1845 , 746685
