0 , 0 , 0 , 0 , 0
24 , 24 , 0 , 0 , 4275
48 , 48 , 0 , 0 , 7706
72 , 72 , 0 , 0 , 15278
96 , 96 , 0 , 0 , 17721
120 , 120 , 0 , 0 , 27004
144 , 144 , 0 , 0 , 31119
168 , 168 , 0 , 0 , 41768
192 , 192 , 2 , 2 , 47863
216 , 218 , 12 , 12 , 64275
240 , 242 , 29 , 29 , 80032
264 , 269 , 53 , 53 , 92750
288 , 299 , 77 , 77 , 101779
312 , 323 , 101 , 101 , 116180
336 , 347 , 125 , 125 , 126663
360 , 372 , 149 , 150 , 134198
384 , 398 , 173 , 176 , 142679
408 , 422 , 197 , 200 , 151307
432 , 446 , 221 , 224 , 158997
456 , 472 , 245 , 250 , 164519
480 , 503 , 269 , 281 , 172061
504 , 536 , 293 , 314 , 179416
528 , 563 , 317 , 341 , 185029
552 , 589 , 341 , 367 , 190048
576 , 616 , 365 , 394 , 197712
600 , 641 , 389 , 419 , 209031
624 , 669 , 413 , 447 , 223498
648 , 696 , 437 , 474 , 233803
672 , 720 , 461 , 498 , 238572
696 , 748 , 485 , 526 , 253418
720 , 774 , 509 , 552 , 263463
744 , 801 , 533 , 576 , 274618
768 , 831 , 557 , 606 , 288305
792 , 856 , 581 , 631 , 297231
816 , 880 , 605 , 655 , 302782
840 , 904 , 629 , 679 , 305924
864 , 936 , 653 , 711 , 313910
888 , 964 , 677 , 739 , 327703
912 , 990 , 701 , 765 , 347131
936 , 1016 , 725 , 791 , 363274
960 , 1041 , 749 , 816 , 373505
984 , 1071 , 773 , 846 , 387463
1008 , 1106 , 797 , 880 , 392868
1032 , 1142 , 821 , 914 , 397645
1056 , 1181 , 845 , 950 , 404924
1080 , 1211 , 869 , 980 , 411262
1104 , 1238 , 893 , 1007 , 420361
1128 , 1263 , 917 , 1032 , 428872
1152 , 1287 , 941 , 1056 , 442109
1176 , 1316 , 965 , 1085 , 466215
1200 , 1345 , 989 , 1114 , 474267
1224 , 1369 , 1013 , 1138 , 479480
1248 , 1394 , 1037 , 1163 , 489638
1272 , 1420 , 1061 , 1189 , 499060
1296 , 1448 , 1085 , 1217 , 507311
1320 , 1474 , 1109 , 1243 , 519422
1344 , 1500 , 1133 , 1269 , 536968
1368 , 1528 , 1157 , 1297 , 561193
1392 , 1553 , 1181 , 1322 , 580474
1416 , 1577 , 1205 , 1346 , 588008
1440 , 1602 , 1229 , 1371 , 592244
1464 , 1635 , 1253 , 1404 , 598764
1488 , 1668 , 1277 , 1437 , 608441
1512 , 1696 , 1301 , 1465 , 612739
1536 , 1721 , 1325 , 1490 , 619991
1560 , 1745 , 1349 , 1514 , 629171
1584 , 1771 , 1373 , 1540 , 637835
1608 , 1795 , 1397 , 1564 , 651285
1632 , 1819 , 1421 , 1588 , 665609
1656 , 1846 , 1445 , 1615 , 672130
1680 , 1872 , 1469 , 1641 , 679539
1704 , 1898 , 1493 , 1667 , 684692
1728 , 1925 , 1517 , 1694 , 687139
1752 , 1949 , 1541 , 1718 , 696758
1776 , 1983 , 1565 , 1752 , 750672
