0 , 0 , 0 , 0 , 0
24 , 24 , 0 , 0 , 13856
48 , 50 , 1 , 1 , 21274
72 , 74 , 1 , 1 , 38921
96 , 98 , 9 , 9 , 49869
120 , 122 , 27 , 27 , 54169
144 , 146 , 47 , 47 , 58285
168 , 170 , 71 , 71 , 72961
192 , 194 , 95 , 95 , 82502
216 , 218 , 119 , 119 , 94085
240 , 242 , 142 , 142 , 108869
264 , 266 , 166 , 166 , 139389
288 , 290 , 190 , 190 , 149770
312 , 314 , 214 , 214 , 152597
336 , 347 , 238 , 247 , 168625
360 , 384 , 262 , 278 , 174925
384 , 411 , 286 , 304 , 187023
408 , 436 , 310 , 328 , 201228
432 , 460 , 334 , 352 , 205563
456 , 492 , 358 , 384 , 216828
480 , 526 , 382 , 418 , 219503
504 , 577 , 406 , 469 , 238948
528 , 605 , 430 , 497 , 267555
552 , 634 , 454 , 525 , 280374
576 , 658 , 478 , 549 , 335378
600 , 686 , 502 , 577 , 347928
624 , 712 , 526 , 603 , 363611
648 , 758 , 550 , 649 , 394266
672 , 788 , 574 , 679 , 409203
696 , 822 , 598 , 713 , 440345
720 , 859 , 622 , 750 , 446727
744 , 892 , 646 , 783 , 465227
768 , 918 , 670 , 809 , 467520
792 , 952 , 694 , 843 , 476336
816 , 1001 , 718 , 892 , 481355
840 , 1032 , 742 , 923 , 493820
864 , 1056 , 766 , 947 , 497402
888 , 1087 , 790 , 978 , 511051
912 , 1136 , 814 , 1027 , 526053
936 , 1178 , 838 , 1069 , 553422
960 , 1202 , 862 , 1093 , 557006
984 , 1234 , 886 , 1125 , 572928
1008 , 1258 , 910 , 1149 , 578985
1032 , 1282 , 934 , 1173 , 585005
1056 , 1315 , 958 , 1206 , 595618
1080 , 1347 , 982 , 1238 , 601301
1104 , 1379 , 1006 , 1270 , 626825
1128 , 1403 , 1030 , 1294 , 628982
1152 , 1427 , 1054 , 1318 , 634864
1176 , 1452 , 1078 , 1343 , 644187
1200 , 1483 , 1102 , 1374 , 655621
1224 , 1515 , 1126 , 1406 , 675330
1248 , 1539 , 1150 , 1430 , 677922
1272 , 1563 , 1174 , 1454 , 680584
1296 , 1607 , 1198 , 1498 , 687142
1320 , 1641 , 1222 , 1532 , 702676
1344 , 1666 , 1246 , 1557 , 716564
1368 , 1690 , 1270 , 1581 , 724538
1392 , 1714 , 1294 , 1605 , 731831
1416 , 1738 , 1318 , 1629 , 738763
1440 , 1775 , 1342 , 1666 , 757979
1464 , 1799 , 1366 , 1690 , 760523
1488 , 1823 , 1390 , 1714 , 763191
1512 , 1857 , 1414 , 1748 , 768382
1536 , 1884 , 1438 , 1775 , 784096
1560 , 1920 , 1462 , 1811 , 803482
1584 , 1945 , 1486 , 1836 , 806178
1608 , 1972 , 1510 , 1863 , 835561
1632 , 1996 , 1534 , 1887 , 853505
1656 , 2020 , 1558 , 1911 , 888894
1680 , 2044 , 1582 , 1935 , 903058
1704 , 2068 , 1606 , 1959 , 906361
1728 , 2094 , 1630 , 1985 , 909468
1752 , 2118 , 1654 , 2009 , 911675
1776 , 2142 , 1678 , 2033 , 916107
1800 , 2166 , 1702 , 2057 , 936184
1824 , 2190 , 1726 , 2081 , 943920
1848 , 2220 , 1750 , 2111 , 947045
1872 , 2245 , 1774 , 2136 , 952338
1896 , 2269 , 1798 , 2160 , 962667
1920 , 2293 , 1822 , 2184 , 977205
1944 , 2322 , 1846 , 2213 , 982830
1968 , 2348 , 1870 , 2239 , 1000343
